route	resolved	status	final_url	title	notes	screenshot
/versotech_main/accounts	/versotech_main/accounts	PASS	http://localhost:3000/versotech_main/accounts	VERSOTECH ; Investment Portal		tasks/currency-ui-evidence/screenshots/001__versotech_main_accounts.png
/versotech_main/admin	/versotech_main/admin	PASS	http://localhost:3000/versotech_main/admin	VERSOTECH ; Investment Portal		tasks/currency-ui-evidence/screenshots/002__versotech_main_admin.png
/versotech_main/approvals	/versotech_main/approvals	PASS	http://localhost:3000/versotech_main/approvals	VERSOTECH ; Investment Portal		tasks/currency-ui-evidence/screenshots/003__versotech_main_approvals.png
/versotech_main/arranger-profile	/versotech_main/arranger-profile	PASS	http://localhost:3000/versotech_main/arranger-profile	VERSOTECH ; Investment Portal		tasks/currency-ui-evidence/screenshots/004__versotech_main_arranger-profile.png
/versotech_main/arranger-reconciliation	/versotech_main/arranger-reconciliation	PASS	http://localhost:3000/versotech_main/arranger-reconciliation	VERSOTECH ; Investment Portal	contains_dollar_symbol	tasks/currency-ui-evidence/screenshots/005__versotech_main_arranger-reconciliation.png
/versotech_main/arrangers/[id]	/versotech_main/arrangers/	PASS	http://localhost:3000/versotech_main/arrangers	VERSOTECH ; Investment Portal	contains_dollar_symbol	tasks/currency-ui-evidence/screenshots/006__versotech_main_arrangers__id_.png
/versotech_main/arrangers	/versotech_main/arrangers	PASS	http://localhost:3000/versotech_main/arrangers	VERSOTECH ; Investment Portal	contains_dollar_symbol	tasks/currency-ui-evidence/screenshots/007__versotech_main_arrangers.png
/versotech_main/assigned-deals	/versotech_main/assigned-deals	PASS	http://localhost:3000/versotech_main/dashboard	VERSOTECH ; Investment Portal	contains_dollar_symbol	tasks/currency-ui-evidence/screenshots/008__versotech_main_assigned-deals.png
/versotech_main/audit	/versotech_main/audit	PASS	http://localhost:3000/versotech_main/audit	VERSOTECH ; Investment Portal		tasks/currency-ui-evidence/screenshots/009__versotech_main_audit.png
/versotech_main/calendar	/versotech_main/calendar	PASS	http://localhost:3000/versotech_main/calendar	VERSOTECH ; Investment Portal		tasks/currency-ui-evidence/screenshots/010__versotech_main_calendar.png
/versotech_main/ceo-profile	/versotech_main/ceo-profile	PASS	http://localhost:3000/versotech_main/ceo-profile	VERSOTECH ; Investment Portal		tasks/currency-ui-evidence/screenshots/011__versotech_main_ceo-profile.png
/versotech_main/client-transactions	/versotech_main/client-transactions	PASS	http://localhost:3000/versotech_main/client-transactions	VERSOTECH ; Investment Portal		tasks/currency-ui-evidence/screenshots/012__versotech_main_client-transactions.png
/versotech_main/commercial-partner-profile	/versotech_main/commercial-partner-profile	PASS	http://localhost:3000/versotech_main/commercial-partner-profile	VERSOTECH ; Investment Portal		tasks/currency-ui-evidence/screenshots/013__versotech_main_commercial-partner-profile.png
