route	resolved	status	final_url	title	notes	screenshot
/versotech_main/accounts	/versotech_main/accounts	PASS	http://localhost:3000/versotech_main/accounts	VERSOTECH | Investment Portal		tasks/currency-ui-evidence-agentbrowser/screenshots/001_/versotech_main/accounts.png
/versotech_main/admin	/versotech_main/admin	PASS	http://localhost:3000/versotech_main/admin	VERSOTECH | Investment Portal		tasks/currency-ui-evidence-agentbrowser/screenshots/002_/versotech_main/admin.png
/versotech_main/approvals	/versotech_main/approvals	PASS	http://localhost:3000/versotech_main/approvals	VERSOTECH | Investment Portal		tasks/currency-ui-evidence-agentbrowser/screenshots/003_/versotech_main/approvals.png
/versotech_main/arranger-profile	/versotech_main/arranger-profile	PASS	http://localhost:3000/versotech_main/arranger-profile	VERSOTECH | Investment Portal		tasks/currency-ui-evidence-agentbrowser/screenshots/004_/versotech_main/arranger-profile.png
/versotech_main/arranger-reconciliation	/versotech_main/arranger-reconciliation	PASS	http://localhost:3000/versotech_main/arranger-reconciliation	VERSOTECH | Investment Portal		tasks/currency-ui-evidence-agentbrowser/screenshots/005_/versotech_main/arranger-reconciliation.png
/versotech_main/arrangers/[id]	/versotech_main/arrangers/eb8f239b-6361-430a-919f-be8b5f3e0e93	PASS	http://localhost:3000/versotech_main/arrangers/eb8f239b-6361-430a-919f-be8b5f3e0e93	VERSOTECH | Investment Portal		tasks/currency-ui-evidence-agentbrowser/screenshots/006_/versotech_main/arrangers/[id].png
/versotech_main/arrangers	/versotech_main/arrangers	PASS	http://localhost:3000/versotech_main/arrangers	VERSOTECH | Investment Portal		tasks/currency-ui-evidence-agentbrowser/screenshots/007_/versotech_main/arrangers.png
/versotech_main/assigned-deals	/versotech_main/assigned-deals	PASS	http://localhost:3000/versotech_main/dashboard	VERSOTECH | Investment Portal		tasks/currency-ui-evidence-agentbrowser/screenshots/008_/versotech_main/assigned-deals.png
/versotech_main/audit	/versotech_main/audit	PASS	http://localhost:3000/versotech_main/audit	VERSOTECH | Investment Portal		tasks/currency-ui-evidence-agentbrowser/screenshots/009_/versotech_main/audit.png
/versotech_main/calendar	/versotech_main/calendar	PASS	http://localhost:3000/versotech_main/calendar	VERSOTECH | Investment Portal		tasks/currency-ui-evidence-agentbrowser/screenshots/010_/versotech_main/calendar.png
/versotech_main/ceo-profile	/versotech_main/ceo-profile	PASS	http://localhost:3000/versotech_main/ceo-profile	VERSOTECH | Investment Portal		tasks/currency-ui-evidence-agentbrowser/screenshots/011_/versotech_main/ceo-profile.png
/versotech_main/client-transactions	/versotech_main/client-transactions	PASS	http://localhost:3000/versotech_main/client-transactions	VERSOTECH | Investment Portal		tasks/currency-ui-evidence-agentbrowser/screenshots/012_/versotech_main/client-transactions.png
/versotech_main/commercial-partner-profile	/versotech_main/commercial-partner-profile	PASS	http://localhost:3000/versotech_main/commercial-partner-profile	VERSOTECH | Investment Portal		tasks/currency-ui-evidence-agentbrowser/screenshots/013_/versotech_main/commercial-partner-profile.png
/versotech_main/commercial-partners/[id]	/versotech_main/commercial-partners/455adfc7-dc75-45d5-8636-25d666f94d6d	PASS	http://localhost:3000/versotech_main/commercial-partners/455adfc7-dc75-45d5-8636-25d666f94d6d	VERSOTECH | Investment Portal		tasks/currency-ui-evidence-agentbrowser/screenshots/014_/versotech_main/commercial-partners/[id].png
/versotech_main/dashboard	/versotech_main/dashboard	PASS	http://localhost:3000/versotech_main/dashboard	VERSOTECH | Investment Portal		tasks/currency-ui-evidence-agentbrowser/screenshots/015_/versotech_main/dashboard.png
