introducer_id,deal_id,investor_id,basis_type,rate_bps,accrual_amount,threshold_multiplier,performance_threshold_type
a2a0b0a1-817a-4039-bcbf-160b84f51567,07eff085-9f1d-4e02-b1e2-d717817503f1,83a28a5a-e103-4134-8f03-80489341f722,spread,0,15000.00,,
a2a0b0a1-817a-4039-bcbf-160b84f51567,07eff085-9f1d-4e02-b1e2-d717817503f1,83a28a5a-e103-4134-8f03-80489341f722,spread,0,5000.00,,
a2a0b0a1-817a-4039-bcbf-160b84f51567,07eff085-9f1d-4e02-b1e2-d717817503f1,fb054123-276f-404f-bcd5-addbf205857b,spread,0,10000.00,,
a2a0b0a1-817a-4039-bcbf-160b84f51567,07eff085-9f1d-4e02-b1e2-d717817503f1,fb054123-276f-404f-bcd5-addbf205857b,spread,0,5000.00,,
98fdce26-5a61-486e-a450-8e13dd4cfbf4,07eff085-9f1d-4e02-b1e2-d717817503f1,00277b86-69a4-408b-945e-1b299ef7406d,spread,0,5040.00,,
98fdce26-5a61-486e-a450-8e13dd4cfbf4,07eff085-9f1d-4e02-b1e2-d717817503f1,90c92efe-20ea-4a95-b960-a0a372b987e5,spread,0,40000.00,,
98fdce26-5a61-486e-a450-8e13dd4cfbf4,07eff085-9f1d-4e02-b1e2-d717817503f1,7ffea7ed-32a9-4aab-a366-cea7e06d8490,spread,0,10000.00,,
98fdce26-5a61-486e-a450-8e13dd4cfbf4,07eff085-9f1d-4e02-b1e2-d717817503f1,8cfc4ef6-fb47-41ba-bfa2-76d1762e0187,spread,0,4999.50,,
a2a0b0a1-817a-4039-bcbf-160b84f51567,07eff085-9f1d-4e02-b1e2-d717817503f1,ba36ca98-e4b4-403e-b505-dbe88b7dedb9,spread,0,5000.00,,
98fdce26-5a61-486e-a450-8e13dd4cfbf4,07eff085-9f1d-4e02-b1e2-d717817503f1,d3c08a04-d8d6-4f53-bd88-5e47ff10ffc3,invested_amount,0,23542.20,,
98fdce26-5a61-486e-a450-8e13dd4cfbf4,07eff085-9f1d-4e02-b1e2-d717817503f1,39717c43-a2a3-4c6a-b8ca-6010622d1723,spread,0,8250.30,,
d5e08d13-ebdf-4d8c-a218-ee50e2117c6f,07eff085-9f1d-4e02-b1e2-d717817503f1,48e4bfc8-e826-455e-8212-16fe187125de,spread,0,2776.00,,
98fdce26-5a61-486e-a450-8e13dd4cfbf4,07eff085-9f1d-4e02-b1e2-d717817503f1,48e4bfc8-e826-455e-8212-16fe187125de,spread,0,1249.20,,
98fdce26-5a61-486e-a450-8e13dd4cfbf4,07eff085-9f1d-4e02-b1e2-d717817503f1,46ef8d98-702c-4d6f-bb42-fb6974b529f4,spread,0,4003.20,,
d5e08d13-ebdf-4d8c-a218-ee50e2117c6f,07eff085-9f1d-4e02-b1e2-d717817503f1,ec8893f1-9473-4d80-bd46-04b2cc8b2f3a,invested_amount,200,1000.00,,
d5e08d13-ebdf-4d8c-a218-ee50e2117c6f,07eff085-9f1d-4e02-b1e2-d717817503f1,ec8893f1-9473-4d80-bd46-04b2cc8b2f3a,spread,0,5024.00,,
d5e08d13-ebdf-4d8c-a218-ee50e2117c6f,07eff085-9f1d-4e02-b1e2-d717817503f1,ec8893f1-9473-4d80-bd46-04b2cc8b2f3a,performance_fee,500,0.00,0.0,
98fdce26-5a61-486e-a450-8e13dd4cfbf4,07eff085-9f1d-4e02-b1e2-d717817503f1,ec8893f1-9473-4d80-bd46-04b2cc8b2f3a,spread,0,3768.00,,
d5e08d13-ebdf-4d8c-a218-ee50e2117c6f,07eff085-9f1d-4e02-b1e2-d717817503f1,e21e21d3-0e0f-45bc-9a0a-6d37abdfd00c,invested_amount,200,2000.00,,
d5e08d13-ebdf-4d8c-a218-ee50e2117c6f,07eff085-9f1d-4e02-b1e2-d717817503f1,e21e21d3-0e0f-45bc-9a0a-6d37abdfd00c,spread,0,10050.00,,
d5e08d13-ebdf-4d8c-a218-ee50e2117c6f,07eff085-9f1d-4e02-b1e2-d717817503f1,e21e21d3-0e0f-45bc-9a0a-6d37abdfd00c,performance_fee,500,0.00,0.0,
98fdce26-5a61-486e-a450-8e13dd4cfbf4,07eff085-9f1d-4e02-b1e2-d717817503f1,e21e21d3-0e0f-45bc-9a0a-6d37abdfd00c,spread,0,7537.50,,
d5e08d13-ebdf-4d8c-a218-ee50e2117c6f,07eff085-9f1d-4e02-b1e2-d717817503f1,41b8b9df-623b-4b68-9a33-f8abddccf526,spread,0,35712.00,,
98fdce26-5a61-486e-a450-8e13dd4cfbf4,07eff085-9f1d-4e02-b1e2-d717817503f1,41b8b9df-623b-4b68-9a33-f8abddccf526,spread,0,35712.00,,
d5e08d13-ebdf-4d8c-a218-ee50e2117c6f,07eff085-9f1d-4e02-b1e2-d717817503f1,5ee17648-dd9d-4351-a450-f57119440739,spread,0,35715.00,,
98fdce26-5a61-486e-a450-8e13dd4cfbf4,07eff085-9f1d-4e02-b1e2-d717817503f1,5ee17648-dd9d-4351-a450-f57119440739,spread,0,35715.00,,
d5e08d13-ebdf-4d8c-a218-ee50e2117c6f,07eff085-9f1d-4e02-b1e2-d717817503f1,3e75e4c5-6071-410d-bb55-d4ede85ab93d,invested_amount,200,600.00,,
d5e08d13-ebdf-4d8c-a218-ee50e2117c6f,07eff085-9f1d-4e02-b1e2-d717817503f1,3e75e4c5-6071-410d-bb55-d4ede85ab93d,spread,0,5274.50,,
d5e08d13-ebdf-4d8c-a218-ee50e2117c6f,07eff085-9f1d-4e02-b1e2-d717817503f1,19355c51-e298-4747-bd53-0e27f8aa6c16,invested_amount,100,3000.00,,
d5e08d13-ebdf-4d8c-a218-ee50e2117c6f,07eff085-9f1d-4e02-b1e2-d717817503f1,19355c51-e298-4747-bd53-0e27f8aa6c16,spread,0,41094.00,,
98fdce26-5a61-486e-a450-8e13dd4cfbf4,07eff085-9f1d-4e02-b1e2-d717817503f1,19355c51-e298-4747-bd53-0e27f8aa6c16,spread,0,20999.03,,
d5e08d13-ebdf-4d8c-a218-ee50e2117c6f,07eff085-9f1d-4e02-b1e2-d717817503f1,afb8d124-32b7-4959-8af9-5e96f0383159,invested_amount,100,2252.00,,
d5e08d13-ebdf-4d8c-a218-ee50e2117c6f,07eff085-9f1d-4e02-b1e2-d717817503f1,afb8d124-32b7-4959-8af9-5e96f0383159,spread,0,30000.00,,
98fdce26-5a61-486e-a450-8e13dd4cfbf4,07eff085-9f1d-4e02-b1e2-d717817503f1,afb8d124-32b7-4959-8af9-5e96f0383159,spread,0,15000.00,,
d5e08d13-ebdf-4d8c-a218-ee50e2117c6f,07eff085-9f1d-4e02-b1e2-d717817503f1,e92ed0be-a69a-4cb4-a623-42ce2467ca4e,invested_amount,100,500.00,,
d5e08d13-ebdf-4d8c-a218-ee50e2117c6f,07eff085-9f1d-4e02-b1e2-d717817503f1,e92ed0be-a69a-4cb4-a623-42ce2467ca4e,spread,0,5024.00,,
