introducer_id,investor_id,basis_type,tier_number,count,subscription_count_for_investor,exact_duplicate_groups
1e9af1ef-f4c5-4e73-b895-fe271ab6dc3d,5f35adc5-412a-4980-88ce-5d2b6f7fa3fc,spread,None,3,1,1
1e9af1ef-f4c5-4e73-b895-fe271ab6dc3d,bd62f55f-73cf-4ea9-b730-453ba3838de4,spread,None,3,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,00277b86-69a4-408b-945e-1b299ef7406d,spread,None,3,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,0339cb56-2073-4eaf-bd16-b5aee1578d0f,invested_amount,None,3,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,0339cb56-2073-4eaf-bd16-b5aee1578d0f,performance_fee,None,3,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,0339cb56-2073-4eaf-bd16-b5aee1578d0f,spread,None,3,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,0430188b-81e3-4292-b4b9-86d38c97175f,invested_amount,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,0430188b-81e3-4292-b4b9-86d38c97175f,performance_fee,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,05c6c31d-bdcc-470e-b185-747ff0f014f4,invested_amount,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,05c6c31d-bdcc-470e-b185-747ff0f014f4,performance_fee,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,05c6c31d-bdcc-470e-b185-747ff0f014f4,spread,None,2,1,0
98fdce26-5a61-486e-a450-8e13dd4cfbf4,063e3a99-1866-421f-9553-eece3bf07ce5,spread,None,6,2,2
98fdce26-5a61-486e-a450-8e13dd4cfbf4,07f33444-858d-4615-a3b1-d39af3fb643d,invested_amount,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,07f33444-858d-4615-a3b1-d39af3fb643d,performance_fee,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,07f33444-858d-4615-a3b1-d39af3fb643d,spread,None,2,1,0
98fdce26-5a61-486e-a450-8e13dd4cfbf4,08a6276a-d515-4aec-a9ed-45688d1d359f,invested_amount,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,08a6276a-d515-4aec-a9ed-45688d1d359f,spread,None,2,1,0
98fdce26-5a61-486e-a450-8e13dd4cfbf4,08f6d495-8784-4b61-8540-5a737d81b36c,invested_amount,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,08f6d495-8784-4b61-8540-5a737d81b36c,performance_fee,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,08f6d495-8784-4b61-8540-5a737d81b36c,spread,None,2,1,0
98fdce26-5a61-486e-a450-8e13dd4cfbf4,09378822-443a-449f-8cb2-a259a405c65e,spread,None,3,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,0938fe48-c579-4031-8fba-97b348218ddf,spread,None,3,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,0cd350fe-42d5-4261-9ac0-141bd33ca851,invested_amount,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,0cd350fe-42d5-4261-9ac0-141bd33ca851,performance_fee,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,0cd350fe-42d5-4261-9ac0-141bd33ca851,spread,None,2,1,0
98fdce26-5a61-486e-a450-8e13dd4cfbf4,11be6624-9dd0-4a7d-b4eb-9241d6d35f07,invested_amount,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,11be6624-9dd0-4a7d-b4eb-9241d6d35f07,performance_fee,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,11be6624-9dd0-4a7d-b4eb-9241d6d35f07,spread,None,2,1,0
98fdce26-5a61-486e-a450-8e13dd4cfbf4,1229b363-246e-4e83-9ec8-3be2c259aab2,invested_amount,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,1229b363-246e-4e83-9ec8-3be2c259aab2,performance_fee,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,1229b363-246e-4e83-9ec8-3be2c259aab2,spread,None,2,1,0
98fdce26-5a61-486e-a450-8e13dd4cfbf4,12932ec5-c9bc-472c-9b8b-2cf4eeae2949,invested_amount,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,12932ec5-c9bc-472c-9b8b-2cf4eeae2949,spread,None,2,1,0
98fdce26-5a61-486e-a450-8e13dd4cfbf4,12de5d24-1682-40e8-b166-de9b85072507,invested_amount,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,12de5d24-1682-40e8-b166-de9b85072507,spread,None,2,1,0
98fdce26-5a61-486e-a450-8e13dd4cfbf4,1515649c-4e17-47cf-81eb-cdd07ee1e72e,invested_amount,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,19355c51-e298-4747-bd53-0e27f8aa6c16,spread,None,3,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,193ca7da-80aa-413a-9073-f415ea18f898,invested_amount,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,193ca7da-80aa-413a-9073-f415ea18f898,performance_fee,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,1a259349-5f9b-40c5-a8b9-ab466ede6861,spread,None,3,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,1bb4d74d-50e7-410d-b852-923c4f26d504,invested_amount,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,1bb4d74d-50e7-410d-b852-923c4f26d504,spread,None,2,1,0
98fdce26-5a61-486e-a450-8e13dd4cfbf4,23d63bc4-9158-4424-a447-b98a18a49f0e,invested_amount,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,23d63bc4-9158-4424-a447-b98a18a49f0e,performance_fee,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,23d63bc4-9158-4424-a447-b98a18a49f0e,spread,None,2,1,0
98fdce26-5a61-486e-a450-8e13dd4cfbf4,24c96f5a-0b23-4e40-b562-c0570df12fd8,invested_amount,None,2,2,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,25288dc0-7e63-4da4-b1c3-b97eeca04664,invested_amount,None,3,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,25288dc0-7e63-4da4-b1c3-b97eeca04664,performance_fee,None,3,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,25288dc0-7e63-4da4-b1c3-b97eeca04664,spread,None,3,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,285137a2-9aa5-4ab7-b2b2-6c13641fc85c,performance_fee,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,2a08fbe8-f4de-4594-96cb-3ba8df1dc17f,invested_amount,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,2a08fbe8-f4de-4594-96cb-3ba8df1dc17f,performance_fee,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,2d1851ef-8256-4f17-b306-e7308fd1d571,invested_amount,None,3,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,2d1851ef-8256-4f17-b306-e7308fd1d571,performance_fee,None,3,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,2d1851ef-8256-4f17-b306-e7308fd1d571,spread,None,3,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,3144dd2e-b7cc-413d-960c-e3df7b09f34d,invested_amount,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,3144dd2e-b7cc-413d-960c-e3df7b09f34d,spread,None,2,1,0
98fdce26-5a61-486e-a450-8e13dd4cfbf4,31798273-4949-499e-b650-b6cf44fbe2b4,invested_amount,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,31798273-4949-499e-b650-b6cf44fbe2b4,spread,None,2,1,0
98fdce26-5a61-486e-a450-8e13dd4cfbf4,35af0245-05fb-4d6c-b17e-64d0d6b180f0,invested_amount,None,3,0,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,35af0245-05fb-4d6c-b17e-64d0d6b180f0,performance_fee,None,3,0,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,35af0245-05fb-4d6c-b17e-64d0d6b180f0,spread,None,3,0,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,36add7c6-1ff6-4233-8989-c7bd9d90a832,invested_amount,None,3,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,36add7c6-1ff6-4233-8989-c7bd9d90a832,performance_fee,None,3,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,36add7c6-1ff6-4233-8989-c7bd9d90a832,spread,None,3,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,38386490-7a42-41b3-8a2c-6e48eecab39c,invested_amount,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,38386490-7a42-41b3-8a2c-6e48eecab39c,performance_fee,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,38386490-7a42-41b3-8a2c-6e48eecab39c,spread,None,2,1,0
98fdce26-5a61-486e-a450-8e13dd4cfbf4,39717c43-a2a3-4c6a-b8ca-6010622d1723,spread,None,3,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,3bf0018a-4b9f-4473-b345-2cc6487d9545,spread,None,2,1,0
98fdce26-5a61-486e-a450-8e13dd4cfbf4,3cb3cf0f-d5d4-4a35-97e0-1a3ee350efcd,invested_amount,None,2,1,1
98fdce26-5a61-486e-a450-8e13dd4cfbf4,3cb3cf0f-d5d4-4a35-97e0-1a3ee350efcd,spread,None,2,1,0
